step,MSD
0,0.0
1,1.199813999762462
2,2.4633329387514267
3,3.613347908518451
4,4.726756160785475
5,5.858409581733967
6,7.008098214607769
7,8.284392129580121
8,9.482770685342745
9,10.535247405033603
10,11.71981198856104
11,13.113702976336164
12,14.28916831551007
13,15.618957765543405
14,16.55929207190442
15,17.671065651481367
16,18.751756786212646
17,19.790085327973436
18,20.965788699421392
19,22.071487696321462
20,23.052860549108836
21,24.39961681158269
22,25.85990695192713
23,26.832147305456942
24,28.390282219041794
25,29.924978771914905
26,31.364720389347294
27,32.54526668072347
28,34.17959586745716
29,35.39613084148023
30,37.05864453985351
31,38.622864440074245
32,40.30367157146152
33,41.61706088181565
34,42.75403817975844
35,44.34642255098073
36,45.59370285782696
37,46.8052453378994
38,48.02835469888698
39,49.60900782617962
40,51.06468274677689
41,52.45553552675
42,53.526004853001595
43,54.63772989054186
44,55.44890587352033
45,56.982363969428725
46,58.28774471738641
47,59.497990395078205
48,61.07379124183374
49,62.739351968708256
50,64.27596661609275
51,64.941673355527
52,66.46581544473837
53,67.67410188661393
54,69.42055305091453
55,71.03918622750221
56,72.68142435279118
57,74.33346718543979
58,76.05405111370867
59,77.77264575186011
60,80.19356423730025
61,82.30477070512394
62,83.61749986416446
63,84.3872623226289
64,85.67347081084482
65,87.00959709648403
66,89.29074314442842
67,90.71079136357741
68,91.33518777191395
69,93.50661805749361
70,95.48189491465222
71,98.32749809902592
72,101.02573444477335
73,103.18253648662974
74,105.63725388438094
75,106.89247229322025
76,109.25515352740304
77,110.27839022228227
78,112.55096070655603
79,113.53731646459133
80,115.36901587416706
81,117.11924599577608
82,117.75981581946722
83,119.62184792349815
84,121.84206797280096
85,124.3746520598117
86,125.2373374220029
87,128.34502664569504
88,130.54190407675347
89,133.59234859166494
90,135.66846828353408
91,136.65826212883653
92,138.53796605408513
93,139.85556737417932
94,141.54347177470603
95,143.3050696561585
96,145.23938350686842
97,147.55486556625877
98,149.5038154901129
99,152.62618505612406
100,154.78560803049822
101,155.8739788738815
102,157.44469093503585
103,159.57897328058485
104,161.28062282459427
105,162.86977845875668
106,163.27716905699296
107,165.01232732256943
108,165.97878312720226
109,167.97232536395722
110,170.17000355796563
111,173.33256133715815
112,175.63092363598918
113,178.1141973409336
114,181.11763702752674
115,182.65149599446588
116,184.74133604893902
117,186.32372173665135
118,187.37787642084896
119,189.05777624394926
120,190.55517754598276
121,192.61443588110558
122,194.4904109123877
123,196.3320618247261
124,198.44158274594506
125,200.16276948260986
126,204.00972028013004
127,207.901551545321
128,210.3928479935323
129,211.03792262816657
130,214.07933791222771
131,216.78673406393952
132,217.5091274768316
133,221.15520697647355
134,223.25666983410554
135,225.76055614512592
136,227.01550416809366
137,229.94174628080876
138,231.724227131115
139,233.71576967848168
140,234.51953798010905
141,236.71942802444076
142,238.9012381107247
143,240.72881486016274
144,241.54907578270462
145,243.56342914121726
146,246.7794685350124
147,247.16011502794154
148,248.40992309351918
149,251.78195859201992
150,254.46368388989626
151,255.07916115196014
152,258.2738630013331
153,260.7277522811056
154,261.7136769896602
